BA_MAG_ID,Head_UCIDs,NID,Presentable_Name,SCALES_Judge_Label,SJID,Tot_UCIDs,_id,_updated,_version,is_BA_MAG,is_FJC,name
null,0,null,Cj Williams,Magistrate_Judge,SJ000000,13,632252dbc958cdf928665a6b,2022-09-14T17:16:59.189Z,1.1.0,false,false,cj williams
null,9,null,Stephen H Locher,Magistrate_Judge,SJ000001,9,632252dbc958cdf928665a6c,2022-09-14T17:16:59.189Z,1.1.0,false,false,stephen h locher
null,0,1388511,Carroll O Switzer,FJC Judge,SJ000002,0,632252dbc958cdf928665a6d,2022-09-14T17:16:59.189Z,1.1.0,false,true,carroll o switzer
null,0,1380001,Charles Almon Dewey,FJC Judge,SJ000003,0,632252dbc958cdf928665a6e,2022-09-14T17:16:59.189Z,1.1.0,false,true,charles almon dewey
null,118,1390011,Charles Robert Wolle,FJC Judge,SJ000004,143,632252dbc958cdf928665a6f,2022-09-14T17:16:59.189Z,1.1.0,false,true,charles robert wolle
null,0,1385866,Donald Eugene Obrien,FJC Judge,SJ000005,0,632252dbc958cdf928665a70,2022-09-14T17:16:59.189Z,1.1.0,false,true,donald eugene obrien
null,0,1382116,Edwin Richley Hicklin,FJC Judge,SJ000006,0,632252dbc958cdf928665a71,2022-09-14T17:16:59.189Z,1.1.0,false,true,edwin richley hicklin
null,0,1389171,Harold Duane Vietor,FJC Judge,SJ000007,2,632252dbc958cdf928665a72,2022-09-14T17:16:59.189Z,1.1.0,false,true,harold duane vietor
null,241,1391436,James E Gritzner,FJC Judge,SJ000008,295,632252dbc958cdf928665a73,2022-09-14T17:16:59.189Z,1.1.0,false,true,james e gritzner
null,572,1392531,John Alfred Jarvey,FJC Judge,SJ000009,670,632252dbc958cdf928665a74,2022-09-14T17:16:59.189Z,1.1.0,false,true,john alfred jarvey
null,359,1394836,Rebecca Goodgame Ebinger,FJC Judge,SJ000010,362,632252dbc958cdf928665a75,2022-09-14T17:16:59.189Z,1.1.0,false,true,rebecca goodgame ebinger
null,252,1390556,Robert W Pratt,FJC Judge,SJ000011,316,632252dbc958cdf928665a76,2022-09-14T17:16:59.189Z,1.1.0,false,true,robert w pratt
null,26,1384001,Ronald Earl Longstaff,FJC Judge,SJ000012,94,632252dbc958cdf928665a77,2022-09-14T17:16:59.189Z,1.1.0,false,true,ronald earl longstaff
null,0,1388311,Roy Laverne Stephenson,FJC Judge,SJ000013,0,632252dbc958cdf928665a78,2022-09-14T17:16:59.189Z,1.1.0,false,true,roy laverne stephenson
null,426,1394041,Stephanie Marie Rose,FJC Judge,SJ000014,501,632252dbc958cdf928665a79,2022-09-14T17:16:59.189Z,1.1.0,false,true,stephanie marie rose
null,0,1381811,William Cook Hanson,FJC Judge,SJ000015,0,632252dbc958cdf928665a7a,2022-09-14T17:16:59.189Z,1.1.0,false,true,william cook hanson
null,0,1388421,William Corwin Stuart,FJC Judge,SJ000016,0,632252dbc958cdf928665a7b,2022-09-14T17:16:59.189Z,1.1.0,false,true,william corwin stuart
null,0,1386941,William F Riley,FJC Judge,SJ000017,0,632252dbc958cdf928665a7c,2022-09-14T17:16:59.189Z,1.1.0,false,true,william f riley
mag-424,518,null,Celeste F Bremer,BA-MAG Judge,SJ000018,799,632252dbc958cdf928665a7d,2022-09-14T17:16:59.189Z,1.1.0,true,false,celeste f bremer
mag-428,79,null,Ross A Walters,BA-MAG Judge,SJ000019,303,632252dbc958cdf928665a7e,2022-09-14T17:16:59.189Z,1.1.0,true,false,ross a walters
mag-425,511,null,Helen C Adams,BA-MAG Judge,SJ000020,817,632252dbc958cdf928665a7f,2022-09-14T17:16:59.189Z,1.1.0,true,false,helen c adams
mag-426,445,null,Stephen B Jackson Jr,BA-MAG Judge,SJ000021,554,632252dbc958cdf928665a80,2022-09-14T17:16:59.189Z,1.1.0,true,false,stephen b jackson jr
mag-427,0,null,Thomas J Shields,BA-MAG Judge,SJ000022,58,632252dbc958cdf928665a81,2022-09-14T17:16:59.189Z,1.1.0,true,false,thomas j shields
bnk-312,0,null,Anita Louise Shodeen,BA-MAG Judge,SJ000023,0,632252dbc958cdf928665a82,2022-09-14T17:16:59.189Z,1.1.0,true,false,anita louise shodeen
bnk-313,0,null,Lee M Jackwig,BA-MAG Judge,SJ000024,0,632252dbc958cdf928665a83,2022-09-14T17:16:59.189Z,1.1.0,true,false,lee m jackwig
null,59,null,C Christopher Hagy,Magistrate_Judge,SJ000025,521,632252dbc958cdf928665a84,2022-09-14T17:16:59.189Z,1.1.0,false,false,c christopher hagy
null,0,null,Claude W Hicks Jr,Magistrate_Judge,SJ000026,25,632252dbc958cdf928665a85,2022-09-14T17:16:59.189Z,1.1.0,false,false,claude w hicks jr
null,69,null,E Clayton Scofield III,Magistrate_Judge,SJ000027,686,632252dbc958cdf928665a86,2022-09-14T17:16:59.189Z,1.1.0,false,false,e clayton scofield iii
null,86,null,Gerrilyn G Brill,Magistrate_Judge,SJ000028,958,632252dbc958cdf928665a87,2022-09-14T17:16:59.189Z,1.1.0,false,false,gerrilyn g brill
null,3,null,Regina D Cannon,Magistrate_Judge,SJ000029,18,632252dbc958cdf928665a88,2022-09-14T17:16:59.189Z,1.1.0,false,false,regina d cannon
null,41,null,Susan S Cole,Magistrate_Judge,SJ000030,330,632252dbc958cdf928665a89,2022-09-14T17:16:59.189Z,1.1.0,false,false,susan s cole
null,0,null,William C Sherrill Jr,Magistrate_Judge,SJ000031,4,632252dbc958cdf928665a8a,2022-09-14T17:16:59.189Z,1.1.0,false,false,william c sherrill jr
null,0,1382041,Albert John Henderson,FJC Judge,SJ000032,0,632252dbc958cdf928665a8b,2022-09-14T17:16:59.189Z,1.1.0,false,true,albert john henderson
null,1652,1393621,Amy Mil Totenberg,FJC Judge,SJ000033,2134,632252dbc958cdf928665a8c,2022-09-14T17:16:59.189Z,1.1.0,false,true,amy mil totenberg
null,1,1391216,Beverly Baldwin Martin,FJC Judge,SJ000034,27,632252dbc958cdf928665a8d,2022-09-14T17:16:59.189Z,1.1.0,false,true,beverly baldwin martin
null,1428,1391056,Charles A Pannell Jr,FJC Judge,SJ000035,2319,632252dbc958cdf928665a8e,2022-09-14T17:16:59.189Z,1.1.0,false,true,charles a pannell jr
null,41,1385451,Charles Allen Moye Jr,FJC Judge,SJ000036,165,632252dbc958cdf928665a8f,2022-09-14T17:16:59.189Z,1.1.0,false,true,charles allen moye jr
null,637,1379481,Clarence Cooper,FJC Judge,SJ000037,790,632252dbc958cdf928665a90,2022-09-14T17:16:59.189Z,1.1.0,false,true,clarence cooper
null,1541,1394656,Eleanor Louise Ross,FJC Judge,SJ000038,1974,632252dbc958cdf928665a91,2022-09-14T17:16:59.189Z,1.1.0,false,true,eleanor louise ross
null,0,1389021,Emory Marvin Underwood,FJC Judge,SJ000039,0,632252dbc958cdf928665a92,2022-09-14T17:16:59.189Z,1.1.0,false,true,emory marvin underwood
null,0,1382381,Frank Arthur Hooper,FJC Judge,SJ000040,0,632252dbc958cdf928665a93,2022-09-14T17:16:59.189Z,1.1.0,false,true,frank arthur hooper
null,0,1382526,Frank M Hull,FJC Judge,SJ000041,1,632252dbc958cdf928665a94,2022-09-14T17:16:59.189Z,1.1.0,false,true,frank m hull
null,38,1388806,George Ernest Tidwell,FJC Judge,SJ000042,166,632252dbc958cdf928665a95,2022-09-14T17:16:59.189Z,1.1.0,false,true,george ernest tidwell
null,1263,1385531,Harold Lloyd Murphy,FJC Judge,SJ000043,1406,632252dbc958cdf928665a96,2022-09-14T17:16:59.189Z,1.1.0,false,true,harold lloyd murphy
null,63,1389361,Horace Taliaferro Ward,FJC Judge,SJ000044,114,632252dbc958cdf928665a97,2022-09-14T17:16:59.189Z,1.1.0,false,true,horace taliaferro ward
null,271,1380856,J Owen Forrester,FJC Judge,SJ000045,351,632252dbc958cdf928665a98,2022-09-14T17:16:59.189Z,1.1.0,false,true,j owen forrester
null,59,1378766,Jack Tarpley Camp Jr,FJC Judge,SJ000046,162,632252dbc958cdf928665a99,2022-09-14T17:16:59.189Z,1.1.0,false,true,jack tarpley camp jr
null,0,1382161,James Clinkscales Hill,FJC Judge,SJ000047,0,632252dbc958cdf928665a9a,2022-09-14T17:16:59.189Z,1.1.0,false,true,james clinkscales hill
null,39,6595551,Jean-paul Boulee,FJC Judge,SJ000048,43,632252dbc958cdf928665a9b,2022-09-14T17:16:59.189Z,1.1.0,false,true,jean-paul boulee
null,369,1378851,Julie E Carnes,FJC Judge,SJ000049,484,632252dbc958cdf928665a9c,2022-09-14T17:16:59.189Z,1.1.0,false,true,julie e carnes
null,1469,1394641,Leigh Martin May,FJC Judge,SJ000050,1876,632252dbc958cdf928665a9d,2022-09-14T17:16:59.189Z,1.1.0,false,true,leigh martin may
null,0,1385351,Lewis Render Morgan,FJC Judge,SJ000051,0,632252dbc958cdf928665a9e,2022-09-14T17:16:59.189Z,1.1.0,false,true,lewis render morgan
null,1494,1394651,Mark Howard Cohen,FJC Judge,SJ000052,1933,632252dbc958cdf928665a9f,2022-09-14T17:16:59.189Z,1.1.0,false,true,mark howard cohen
null,202,1387791,Marvin Herman Shoob,FJC Judge,SJ000053,262,632252dbc958cdf928665aa0,2022-09-14T17:16:59.189Z,1.1.0,false,true,marvin herman shoob
null,0,1390306,Maurice Neil Andrews,FJC Judge,SJ000054,0,632252dbc958cdf928665aa1,2022-09-14T17:16:59.189Z,1.1.0,false,true,maurice neil andrews
null,304,4028216,Michael Lawrence Brown,FJC Judge,SJ000055,340,632252dbc958cdf928665aa2,2022-09-14T17:16:59.189Z,1.1.0,false,true,michael lawrence brown
null,0,1380376,Newell Edenfield,FJC Judge,SJ000056,0,632252dbc958cdf928665aa3,2022-09-14T17:16:59.189Z,1.1.0,false,true,newell edenfield
null,1157,1380566,Orinda Dale Evans,FJC Judge,SJ000057,1930,632252dbc958cdf928665aa4,2022-09-14T17:16:59.189Z,1.1.0,false,true,orinda dale evans
null,0,1380936,Richard Cameron Freeman,FJC Judge,SJ000058,0,632252dbc958cdf928665aa5,2022-09-14T17:16:59.189Z,1.1.0,false,true,richard cameron freeman
null,2378,1390581,Richard W Story,FJC Judge,SJ000059,2879,632252dbc958cdf928665aa6,2022-09-14T17:16:59.189Z,1.1.0,false,true,richard w story
null,0,1381686,Robert Howell Hall,FJC Judge,SJ000060,0,632252dbc958cdf928665aa7,2022-09-14T17:16:59.189Z,1.1.0,false,true,robert howell hall
null,309,1389176,Robert L Vining Jr,FJC Judge,SJ000061,378,632252dbc958cdf928665aa8,2022-09-14T17:16:59.189Z,1.1.0,false,true,robert l vining jr
null,0,1387261,Robert Lee Russell,FJC Judge,SJ000062,1,632252dbc958cdf928665aa9,2022-09-14T17:16:59.189Z,1.1.0,false,true,robert lee russell
null,0,1387806,Samuel Hale Sibley,FJC Judge,SJ000063,0,632252dbc958cdf928665aaa,2022-09-14T17:16:59.189Z,1.1.0,false,true,samuel hale sibley
null,0,11732406,Sarah Elisabeth Geraghty,FJC Judge,SJ000064,0,632252dbc958cdf928665aab,2022-09-14T17:16:59.189Z,1.1.0,false,true,sarah elisabeth geraghty
null,0,1388011,Sidney Oslin Smith Jr,FJC Judge,SJ000065,0,632252dbc958cdf928665aac,2022-09-14T17:16:59.189Z,1.1.0,false,true,sidney oslin smith jr
null,1716,1393626,Steve Carmichael Jones,FJC Judge,SJ000066,2153,632252dbc958cdf928665aad,2022-09-14T17:16:59.189Z,1.1.0,false,true,steve carmichael jones
null,23,7049561,Steven Daniel Grimberg,FJC Judge,SJ000067,25,632252dbc958cdf928665aae,2022-09-14T17:16:59.189Z,1.1.0,false,true,steven daniel grimberg
null,2007,1390576,Thomas W Thrash Jr,FJC Judge,SJ000068,4249,632252dbc958cdf928665aaf,2022-09-14T17:16:59.189Z,1.1.0,false,true,thomas w thrash jr
null,2001,1392346,Timothy C Batten Sr,FJC Judge,SJ000069,2473,632252dbc958cdf928665ab0,2022-09-14T17:16:59.189Z,1.1.0,false,true,timothy c batten sr
null,0,11690376,Victoria Marie Calvert,FJC Judge,SJ000070,0,632252dbc958cdf928665ab1,2022-09-14T17:16:59.189Z,1.1.0,false,true,victoria marie calvert
null,0,1387911,William Boyd Sloan,FJC Judge,SJ000071,0,632252dbc958cdf928665ab2,2022-09-14T17:16:59.189Z,1.1.0,false,true,william boyd sloan
null,626,1385906,William Clark Okelley,FJC Judge,SJ000072,1120,632252dbc958cdf928665ab3,2022-09-14T17:16:59.189Z,1.1.0,false,true,william clark okelley
null,105,5373556,William Mccrary Ray II,FJC Judge,SJ000073,112,632252dbc958cdf928665ab4,2022-09-14T17:16:59.189Z,1.1.0,false,true,william mccrary ray ii
null,1820,1392146,William S Duffey Jr,FJC Judge,SJ000074,2556,632252dbc958cdf928665ab5,2022-09-14T17:16:59.189Z,1.1.0,false,true,william s duffey jr
null,478,1382566,Willis B Hunt Jr,FJC Judge,SJ000075,577,632252dbc958cdf928665ab6,2022-09-14T17:16:59.189Z,1.1.0,false,true,willis b hunt jr
mag-262,236,null,James Clay Fuller,BA-MAG Judge,SJ000076,1280,632252dbc958cdf928665ab7,2022-09-14T17:16:59.189Z,1.1.0,true,false,james clay fuller
mag-257,277,null,Linda Thompson Walker,BA-MAG Judge,SJ000077,2113,632252dbc958cdf928665ab8,2022-09-14T17:16:59.189Z,1.1.0,true,false,linda thompson walker
mag-265,5,null,Christopher C Bly,BA-MAG Judge,SJ000078,73,632252dbc958cdf928665ab9,2022-09-14T17:16:59.189Z,1.1.0,true,false,christopher c bly
mag-261,212,null,Justin S Anand,BA-MAG Judge,SJ000079,1554,632252dbc958cdf928665aba,2022-09-14T17:16:59.189Z,1.1.0,true,false,justin s anand
mag-258,280,null,Alan Jerold Baverman,BA-MAG Judge,SJ000080,2023,632252dbc958cdf928665abb,2022-09-14T17:16:59.189Z,1.1.0,true,false,alan jerold baverman
mag-259,195,null,Walter E Johnson,BA-MAG Judge,SJ000081,1581,632252dbc958cdf928665abc,2022-09-14T17:16:59.189Z,1.1.0,true,false,walter e johnson
mag-256,275,null,Janet Fuller King,BA-MAG Judge,SJ000082,2049,632252dbc958cdf928665abd,2022-09-14T17:16:59.189Z,1.1.0,true,false,janet fuller king
mag-264,169,null,John Knox Larkins III,BA-MAG Judge,SJ000083,1226,632252dbc958cdf928665abe,2022-09-14T17:16:59.189Z,1.1.0,true,false,john knox larkins iii
mag-263,181,null,Catherine M Salinas,BA-MAG Judge,SJ000084,1357,632252dbc958cdf928665abf,2022-09-14T17:16:59.189Z,1.1.0,true,false,catherine m salinas
mag-260,299,null,Russell Glenn Vineyard,BA-MAG Judge,SJ000085,2002,632252dbc958cdf928665ac0,2022-09-14T17:16:59.189Z,1.1.0,true,false,russell glenn vineyard
bnk-279,0,null,Jeffery W Cavender,BA-MAG Judge,SJ000086,0,632252dbc958cdf928665ac1,2022-09-14T17:16:59.189Z,1.1.0,true,false,jeffery w cavender
bnk-280,0,null,Lisa Anne Ritchey Craig,BA-MAG Judge,SJ000087,0,632252dbc958cdf928665ac2,2022-09-14T17:16:59.189Z,1.1.0,true,false,lisa anne ritchey craig
bnk-281,0,null,Barbara Jane Ellis-monro,BA-MAG Judge,SJ000088,3,632252dbc958cdf928665ac3,2022-09-14T17:16:59.189Z,1.1.0,true,false,barbara jane ellis-monro
bnk-282,0,null,James R Sacca,BA-MAG Judge,SJ000089,1,632252dbc958cdf928665ac4,2022-09-14T17:16:59.189Z,1.1.0,true,false,james r sacca
bnk-283,0,null,Sage Mckinley Sigler,BA-MAG Judge,SJ000090,0,632252dbc958cdf928665ac5,2022-09-14T17:16:59.189Z,1.1.0,true,false,sage mckinley sigler
bnk-284,0,null,W Homer Drake Jr,BA-MAG Judge,SJ000091,0,632252dbc958cdf928665ac6,2022-09-14T17:16:59.189Z,1.1.0,true,false,w homer drake jr
bnk-275,0,null,Wendy L Hagenau,BA-MAG Judge,SJ000092,0,632252dbc958cdf928665ac7,2022-09-14T17:16:59.189Z,1.1.0,true,false,wendy l hagenau
bnk-276,0,null,Paul M Baisier,BA-MAG Judge,SJ000093,0,632252dbc958cdf928665ac8,2022-09-14T17:16:59.189Z,1.1.0,true,false,paul m baisier
bnk-277,0,null,Paul W Bonapfel,BA-MAG Judge,SJ000094,2,632252dbc958cdf928665ac9,2022-09-14T17:16:59.189Z,1.1.0,true,false,paul w bonapfel
null,0,1385126,Andrew Miller,FJC Judge,SJ000095,0,632252dbc958cdf928665aca,2022-09-14T17:16:59.189Z,1.1.0,false,true,andrew miller
null,0,1389111,Bruce Marion Van Sickle,FJC Judge,SJ000096,0,632252dbc958cdf928665acb,2022-09-14T17:16:59.189Z,1.1.0,false,true,bruce marion van sickle
null,0,1389191,Charles Joseph Vogel,FJC Judge,SJ000097,0,632252dbc958cdf928665acc,2022-09-14T17:16:59.189Z,1.1.0,false,true,charles joseph vogel
null,609,1391666,Daniel L Hovland,FJC Judge,SJ000098,854,632252dbc958cdf928665acd,2022-09-14T17:16:59.189Z,1.1.0,false,true,daniel l hovland
null,41,7544351,Daniel Mack Traynor,FJC Judge,SJ000099,47,632252dbc958cdf928665ace,2022-09-14T17:16:59.189Z,1.1.0,false,true,daniel mack traynor
null,0,1386826,George Scott Register,FJC Judge,SJ000100,0,632252dbc958cdf928665acf,2022-09-14T17:16:59.189Z,1.1.0,false,true,george scott register
null,0,1379416,Patrick Anthony Conmy,FJC Judge,SJ000101,2,632252dbc958cdf928665ad0,2022-09-14T17:16:59.189Z,1.1.0,false,true,patrick anthony conmy
null,0,1377766,Paul Benson,FJC Judge,SJ000102,0,632252dbc958cdf928665ad1,2022-09-14T17:16:59.189Z,1.1.0,false,true,paul benson
null,73,6831146,Peter David Welte,FJC Judge,SJ000103,115,632252dbc958cdf928665ad2,2022-09-14T17:16:59.189Z,1.1.0,false,true,peter david welte
null,331,1391751,Ralph R Erickson,FJC Judge,SJ000104,551,632252dbc958cdf928665ad3,2022-09-14T17:16:59.189Z,1.1.0,false,true,ralph r erickson
null,0,1389486,Rodney Scott Webb,FJC Judge,SJ000105,0,632252dbc958cdf928665ad4,2022-09-14T17:16:59.189Z,1.1.0,false,true,rodney scott webb
null,0,1379796,Ronald Norwood Davies,FJC Judge,SJ000106,0,632252dbc958cdf928665ad5,2022-09-14T17:16:59.189Z,1.1.0,false,true,ronald norwood davies
mag-459,58,null,Clare R Hochhalter,BA-MAG Judge,SJ000107,130,632252dbc958cdf928665ad6,2022-09-14T17:16:59.189Z,1.1.0,true,false,clare r hochhalter
mag-460,283,null,Charles Miller Jr,BA-MAG Judge,SJ000108,662,632252dbc958cdf928665ad7,2022-09-14T17:16:59.189Z,1.1.0,true,false,charles miller jr
mag-458,201,null,Alice R Senechal,BA-MAG Judge,SJ000109,535,632252dbc958cdf928665ad8,2022-09-14T17:16:59.189Z,1.1.0,true,false,alice r senechal
null,0,null,Alberto R Gonzales,Nondescript_Judge,SJ000110,5,632252dbc958cdf928665ad9,2022-09-14T17:16:59.189Z,1.1.0,false,false,alberto r gonzales
null,0,null,Alma L Chasez,Magistrate_Judge,SJ000111,7,632252dbc958cdf928665ada,2022-09-14T17:16:59.189Z,1.1.0,false,false,alma l chasez
null,890,null,Arlander Keys,Magistrate_Judge,SJ000112,935,632252dbc958cdf928665adb,2022-09-14T17:16:59.189Z,1.1.0,false,false,arlander keys
null,0,null,Arthur J Boylan,Magistrate_Judge,SJ000113,13,632252dbc958cdf928665adc,2022-09-14T17:16:59.189Z,1.1.0,false,false,arthur j boylan
null,193,null,Beth W Jantz,Magistrate_Judge,SJ000114,757,632252dbc958cdf928665add,2022-09-14T17:16:59.189Z,1.1.0,false,false,beth w jantz
null,0,null,Brigid Mcgrath,Magistrate_Judge,SJ000115,4,632252dbc958cdf928665ade,2022-09-14T17:16:59.189Z,1.1.0,false,false,brigid mcgrath
null,0,null,Bruce W Black,Bankruptcy_Judge,SJ000116,8,632252dbc958cdf928665adf,2022-09-14T17:16:59.189Z,1.1.0,false,false,bruce w black
null,0,null,Byron G Cudmore,Magistrate_Judge,SJ000117,4,632252dbc958cdf928665ae0,2022-09-14T17:16:59.189Z,1.1.0,false,false,byron g cudmore
null,0,null,Dan Arbel,Nondescript_Judge,SJ000118,4,632252dbc958cdf928665ae1,2022-09-14T17:16:59.189Z,1.1.0,false,false,dan arbel
null,424,null,Daniel G Martin,Magistrate_Judge,SJ000119,3705,632252dbc958cdf928665ae2,2022-09-14T17:16:59.189Z,1.1.0,false,false,daniel g martin
null,0,null,Daniel H Weinstein,Nondescript_Judge,SJ000120,8,632252dbc958cdf928665ae3,2022-09-14T17:16:59.189Z,1.1.0,false,false,daniel h weinstein
null,0,null,Donald P Oconnell,Nondescript_Judge,SJ000121,6,632252dbc958cdf928665ae4,2022-09-14T17:16:59.189Z,1.1.0,false,false,donald p oconnell
null,228,null,Edward A Bobrick,Magistrate_Judge,SJ000122,879,632252dbc958cdf928665ae5,2022-09-14T17:16:59.189Z,1.1.0,false,false,edward a bobrick
null,0,null,Eugene R Wedoff,Bankruptcy_Judge,SJ000123,230,632252dbc958cdf928665ae6,2022-09-14T17:16:59.189Z,1.1.0,false,false,eugene r wedoff
null,0,null,Fred Kaufman,Magistrate_Judge,SJ000124,5,632252dbc958cdf928665ae7,2022-09-14T17:16:59.189Z,1.1.0,false,false,fred kaufman
null,903,null,Geraldine Soat Brown,Magistrate_Judge,SJ000125,1937,632252dbc958cdf928665ae8,2022-09-14T17:16:59.189Z,1.1.0,false,false,geraldine soat brown
null,0,null,Grace G Dickler,Magistrate_Judge,SJ000126,5,632252dbc958cdf928665ae9,2022-09-14T17:16:59.189Z,1.1.0,false,false,grace g dickler
null,0,null,Greg White,Magistrate_Judge,SJ000127,6,632252dbc958cdf928665aea,2022-09-14T17:16:59.189Z,1.1.0,false,false,greg white
null,0,null,Hai Precision,Magistrate_Judge,SJ000128,13,632252dbc958cdf928665aeb,2022-09-14T17:16:59.189Z,1.1.0,false,false,hai precision
null,234,null,Heather K Mcshain,Magistrate_Judge,SJ000129,719,632252dbc958cdf928665aec,2022-09-14T17:16:59.189Z,1.1.0,false,false,heather k mcshain
null,0,null,Hugh W Brenneman Jr,Magistrate_Judge,SJ000130,4,632252dbc958cdf928665aed,2022-09-14T17:16:59.189Z,1.1.0,false,false,hugh w brenneman jr
null,35,null,Ian H Levin,Magistrate_Judge,SJ000131,1182,632252dbc958cdf928665aee,2022-09-14T17:16:59.189Z,1.1.0,false,false,ian h levin
null,0,null,Jacquelyn H Collier,Magistrate_Judge,SJ000132,5,632252dbc958cdf928665aef,2022-09-14T17:16:59.189Z,1.1.0,false,false,jacquelyn h collier
null,0,null,James D Kirk,Magistrate_Judge,SJ000133,5,632252dbc958cdf928665af0,2022-09-14T17:16:59.189Z,1.1.0,false,false,james d kirk
null,0,null,Jeanne J Graham,Magistrate_Judge,SJ000134,10,632252dbc958cdf928665af1,2022-09-14T17:16:59.189Z,1.1.0,false,false,jeanne j graham
null,0,null,Jeffery N Luthi,Magistrate_Judge,SJ000135,1367,632252dbc958cdf928665af2,2022-09-14T17:16:59.189Z,1.1.0,false,false,jeffery n luthi
null,0,null,John A Gorman,Magistrate_Judge,SJ000136,10,632252dbc958cdf928665af3,2022-09-14T17:16:59.189Z,1.1.0,false,false,john a gorman
null,0,null,John H Squires,Bankruptcy_Judge,SJ000137,77,632252dbc958cdf928665af4,2022-09-14T17:16:59.189Z,1.1.0,false,false,john h squires
null,0,null,Joseph G Scoville,Magistrate_Judge,SJ000138,4,632252dbc958cdf928665af5,2022-09-14T17:16:59.189Z,1.1.0,false,false,joseph g scoville
null,0,null,Julie A Richards,Magistrate_Judge,SJ000139,4,632252dbc958cdf928665af6,2022-09-14T17:16:59.189Z,1.1.0,false,false,julie a richards
null,0,null,Kathleen Kennedy,Nondescript_Judge,SJ000140,4,632252dbc958cdf928665af7,2022-09-14T17:16:59.189Z,1.1.0,false,false,kathleen kennedy
null,0,null,L Alonzo,Nondescript_Judge,SJ000141,4,632252dbc958cdf928665af8,2022-09-14T17:16:59.189Z,1.1.0,false,false,l alonzo
null,0,null,L Dawson,Magistrate_Judge,SJ000142,10,632252dbc958cdf928665af9,2022-09-14T17:16:59.189Z,1.1.0,false,false,l dawson
null,0,null,Lawrence R Leavitt,Magistrate_Judge,SJ000143,4,632252dbc958cdf928665afa,2022-09-14T17:16:59.189Z,1.1.0,false,false,lawrence r leavitt
null,0,null,Manuel Barbosa,Bankruptcy_Judge,SJ000144,89,632252dbc958cdf928665afb,2022-09-14T17:16:59.189Z,1.1.0,false,false,manuel barbosa
null,0,null,Margaret A Nagle,Magistrate_Judge,SJ000145,4,632252dbc958cdf928665afc,2022-09-14T17:16:59.189Z,1.1.0,false,false,margaret a nagle
null,89,null,Margaret J Schneider,Magistrate_Judge,SJ000146,97,632252dbc958cdf928665afd,2022-09-14T17:16:59.189Z,1.1.0,false,false,margaret j schneider
null,863,null,Martin C Ashman,Magistrate_Judge,SJ000147,3799,632252dbc958cdf928665afe,2022-09-14T17:16:59.189Z,1.1.0,false,false,martin c ashman
null,0,null,Mary E Stanley,Magistrate_Judge,SJ000148,9,632252dbc958cdf928665aff,2022-09-14T17:16:59.189Z,1.1.0,false,false,mary e stanley
null,0,null,Mathew P John,Judicial_Actor,SJ000149,6,632252dbc958cdf928665b00,2022-09-14T17:16:59.189Z,1.1.0,false,false,mathew p john
null,0,null,Michael J Beck,Nondescript_Judge,SJ000150,4,632252dbc958cdf928665b01,2022-09-14T17:16:59.189Z,1.1.0,false,false,michael j beck
null,1269,null,Michael T Mason,Magistrate_Judge,SJ000151,10061,632252dbc958cdf928665b02,2022-09-14T17:16:59.189Z,1.1.0,false,false,michael t mason
null,1167,null,Morton Denlow,Magistrate_Judge,SJ000152,2358,632252dbc958cdf928665b03,2022-09-14T17:16:59.189Z,1.1.0,false,false,morton denlow
null,726,null,Nan R Nolan,Magistrate_Judge,SJ000153,5073,632252dbc958cdf928665b04,2022-09-14T17:16:59.189Z,1.1.0,false,false,nan r nolan
null,0,null,Nicholas Ford,Magistrate_Judge,SJ000154,5,632252dbc958cdf928665b05,2022-09-14T17:16:59.189Z,1.1.0,false,false,nicholas ford
null,0,null,Oswald Parada,Magistrate_Judge,SJ000155,4,632252dbc958cdf928665b06,2022-09-14T17:16:59.189Z,1.1.0,false,false,oswald parada
null,3213,null,P Michael Mahoney,Magistrate_Judge,SJ000156,5126,632252dbc958cdf928665b07,2022-09-14T17:16:59.189Z,1.1.0,false,false,p michael mahoney
null,0,null,Patrick J Fitzgerald,Nondescript_Judge,SJ000157,4,632252dbc958cdf928665b08,2022-09-14T17:16:59.189Z,1.1.0,false,false,patrick j fitzgerald
null,0,null,Paul J Komives,Magistrate_Judge,SJ000158,4,632252dbc958cdf928665b09,2022-09-14T17:16:59.189Z,1.1.0,false,false,paul j komives
null,0,null,Paul P Biebel Jr,Nondescript_Judge,SJ000159,4,632252dbc958cdf928665b0a,2022-09-14T17:16:59.189Z,1.1.0,false,false,paul p biebel jr
null,0,null,Ralph Zarefsky,Magistrate_Judge,SJ000160,7,632252dbc958cdf928665b0b,2022-09-14T17:16:59.189Z,1.1.0,false,false,ralph zarefsky
null,0,null,Richard R Mahoney,Magistrate_Judge,SJ000161,48,632252dbc958cdf928665b0c,2022-09-14T17:16:59.189Z,1.1.0,false,false,richard r mahoney
null,1,null,Robert J Johnston,Magistrate_Judge,SJ000162,4,632252dbc958cdf928665b0d,2022-09-14T17:16:59.189Z,1.1.0,false,false,robert j johnston
null,0,null,Ronald Barliant,Bankruptcy_Judge,SJ000163,26,632252dbc958cdf928665b0e,2022-09-14T17:16:59.189Z,1.1.0,false,false,ronald barliant
null,0,null,Ruth Oshea,Magistrate_Judge,SJ000164,6,632252dbc958cdf928665b0f,2022-09-14T17:16:59.189Z,1.1.0,false,false,ruth oshea
